time (s),sample(v("/out" ?result "tran") 9n 640n "linear" 10n ) (V)
9.000E-9,1.400
19.00E-9,404.9E-3
29.00E-9,1.386
39.00E-9,428.3E-3
49.00E-9,1.353
59.00E-9,470.4E-3
69.00E-9,1.303
79.00E-9,528.1E-3
89.00E-9,1.237
99.00E-9,600.4E-3
109.0E-9,1.159
119.0E-9,684.5E-3
129.0E-9,1.070
139.0E-9,777.3E-3
149.0E-9,974.8E-3
159.0E-9,874.1E-3
169.0E-9,877.0E-3
179.0E-9,971.8E-3
189.0E-9,780.3E-3
199.0E-9,1.068
209.0E-9,687.4E-3
219.0E-9,1.156
229.0E-9,603.3E-3
239.0E-9,1.235
249.0E-9,530.0E-3
259.0E-9,1.301
269.0E-9,471.4E-3
279.0E-9,1.352
289.0E-9,429.3E-3
299.0E-9,1.385
309.0E-9,404.9E-3
319.0E-9,1.400
329.0E-9,400.0E-3
339.0E-9,1.395
349.0E-9,413.7E-3
359.0E-9,1.372
369.0E-9,446.9E-3
379.0E-9,1.330
389.0E-9,496.8E-3
399.0E-9,1.272
409.0E-9,563.2E-3
419.0E-9,1.200
429.0E-9,641.4E-3
439.0E-9,1.116
449.0E-9,730.4E-3
459.0E-9,1.023
469.0E-9,825.2E-3
479.0E-9,925.9E-3
489.0E-9,923.0E-3
499.0E-9,828.2E-3
509.0E-9,1.020
519.0E-9,732.4E-3
529.0E-9,1.113
539.0E-9,644.4E-3
549.0E-9,1.197
559.0E-9,565.2E-3
569.0E-9,1.270
579.0E-9,498.7E-3
589.0E-9,1.329
599.0E-9,447.9E-3
609.0E-9,1.371
619.0E-9,414.7E-3
629.0E-9,1.395
639.0E-9,400.0E-3
